"SCALE","ENTITY","VARIANT","URL"
"1:10m","Natural Earth I with Shaded Relief and Water","medium size","https://naciscdn.org/naturalearth/10m/raster/NE1_LR_LC_SR_W.zip"
"1:10m","Natural Earth I with Shaded Relief, Water, and Drainages","large size","https://naciscdn.org/naturalearth/10m/raster/NE1_HR_LC_SR_W_DR.zip"
"1:10m","Natural Earth I with Shaded Relief, Water, and Drainages","medium size","https://naciscdn.org/naturalearth/10m/raster/NE1_LR_LC_SR_W_DR.zip"
"1:10m","Natural Earth II","large size","https://naciscdn.org/naturalearth/10m/raster/NE2_HR_LC.zip"
"1:10m","Natural Earth II","medium size","https://naciscdn.org/naturalearth/10m/raster/NE2_LR_LC.zip"
"1:10m","Natural Earth II with Shaded Relief","large size","https://naciscdn.org/naturalearth/10m/raster/NE2_HR_LC_SR.zip"
"1:10m","Natural Earth II with Shaded Relief","medium size","https://naciscdn.org/naturalearth/10m/raster/NE2_LR_LC_SR.zip"
"1:10m","Natural Earth II with Shaded Relief and Water","large size","https://naciscdn.org/naturalearth/10m/raster/NE2_HR_LC_SR_W.zip"
"1:10m","Natural Earth II with Shaded Relief and Water","medium size","https://naciscdn.org/naturalearth/10m/raster/NE2_LR_LC_SR_W.zip"
"1:10m","Natural Earth II with Shaded Relief, Water, and Drainages","large size","https://naciscdn.org/naturalearth/10m/raster/NE2_HR_LC_SR_W_DR.zip"
"1:10m","Natural Earth II with Shaded Relief, Water, and Drainages","medium size","https://naciscdn.org/naturalearth/10m/raster/NE2_LR_LC_SR_W_DR.zip"
"1:10m","Ocean Bottom","medium size","https://naciscdn.org/naturalearth/10m/raster/OB_LR.zip"
"1:10m","Shaded Relief Basic","large size","https://naciscdn.org/naturalearth/10m/raster/SR_HR.zip"
"1:10m","Shaded Relief Basic","medium size","https://naciscdn.org/naturalearth/10m/raster/SR_LR.zip"
"1:10m","Gray Earth with Shaded Relief and Hypsography","large size","https://naciscdn.org/naturalearth/10m/raster/GRAY_HR_SR.zip"
"1:10m","Gray Earth with Shaded Relief and Hypsography","medium size","https://naciscdn.org/naturalearth/10m/raster/GRAY_LR_SR.zip"
"1:10m","Gray Earth with Shaded Relief, Hypsography, and Flat Water","large size","https://naciscdn.org/naturalearth/10m/raster/GRAY_HR_SR_W.zip"
"1:10m","Gray Earth with Shaded Relief, Hypsography, and Flat Water","medium size","https://naciscdn.org/naturalearth/10m/raster/GRAY_LR_SR_W.zip"
"1:10m","Gray Earth with Shaded Relief, Hypsography, and Ocean Bottom","large size","https://naciscdn.org/naturalearth/10m/raster/GRAY_HR_SR_OB.zip"
"1:10m","Gray Earth with Shaded Relief, Hypsography, and Ocean Bottom","medium size","https://naciscdn.org/naturalearth/10m/raster/GRAY_LR_SR_OB.zip"
"1:10m","Gray Earth with Shaded Relief, Hypsography, Ocean Bottom, and Drainages","large size","https://naciscdn.org/naturalearth/10m/raster/GRAY_HR_SR_OB_DR.zip"
"1:10m","Gray Earth with Shaded Relief, Hypsography, Ocean Bottom, and Drainages","medium size","https://naciscdn.org/naturalearth/10m/raster/GRAY_LR_SR_OB_DR.zip"
"1:10m","Manual Shaded Relief of Contiguous US","medium size","https://naciscdn.org/naturalearth/10m/raster/US_MSR_10M.zip"
"1:50m","Admin 0 – Countries","countries","https://naciscdn.org/naturalearth/50m/cultural/ne_50m_admin_0_countries.zip"
"1:50m","Admin 0 – Countries","without boundary lakes","https://naciscdn.org/naturalearth/50m/cultural/ne_50m_admin_0_countries_lakes.zip"
"1:50m","Admin 0 – Details","tiny country points","https://naciscdn.org/naturalearth/50m/cultural/ne_50m_admin_0_tiny_countries.zip"
"1:50m","Admin 0 – Details","tiny county scale ranks","https://naciscdn.org/naturalearth/50m/cultural/ne_50m_admin_0_tiny_countries_scale_rank.zip"
"1:50m","Admin 0 – Details","sovereignty","https://naciscdn.org/naturalearth/50m/cultural/ne_50m_admin_0_sovereignty.zip"
"1:50m","Admin 0 – Details","map units","https://naciscdn.org/naturalearth/50m/cultural/ne_50m_admin_0_map_units.zip"
"1:50m","Admin 0 – Details","map subunits","https://naciscdn.org/naturalearth/50m/cultural/ne_50m_admin_0_map_subunits.zip"
"1:50m","Admin 0 – Details","scale ranks","https://naciscdn.org/naturalearth/50m/cultural/ne_50m_admin_0_scale_rank.zip"
"1:50m","Admin 0 – Boundary Lines","land lines","https://naciscdn.org/naturalearth/50m/cultural/ne_50m_admin_0_boundary_lines_land.zip"
"1:50m","Admin 0 – Boundary Lines","map unit lines","https://naciscdn.org/naturalearth/50m/cultural/ne_50m_admin_0_boundary_lines_map_units.zip"
"1:50m","Admin 0 – Boundary Lines","maritime indicators","https://naciscdn.org/naturalearth/50m/cultural/ne_50m_admin_0_boundary_lines_maritime_indicator.zip"
"1:50m","Admin 0 – Boundary Lines","maritime indicators China supplement","https://naciscdn.org/naturalearth/50m/cultural/ne_50m_admin_0_boundary_lines_maritime_indicator_chn.zip"
"1:50m","Admin 0 – Boundary Lines","Pacific grouping lines","https://naciscdn.org/naturalearth/50m/cultural/ne_50m_admin_0_pacific_groupings.zip"
"1:50m","Admin 0 – Breakaway, Disputed Areas","breakaway and disputed areas","https://naciscdn.org/naturalearth/50m/cultural/ne_50m_admin_0_breakaway_disputed_areas.zip"
"1:50m","Admin 0 – Breakaway, Disputed Areas","boundary lines","https://naciscdn.org/naturalearth/50m/cultural/ne_50m_admin_0_boundary_lines_disputed_areas.zip"
"1:50m","Admin 1 – States, provinces","states and provinces","https://naciscdn.org/naturalearth/50m/cultural/ne_50m_admin_1_states_provinces.zip"
"1:50m","Admin 1 – States, provinces","without large lakes","https://naciscdn.org/naturalearth/50m/cultural/ne_50m_admin_1_states_provinces_lakes.zip"
"1:50m","Admin 1 – States, provinces","boundary lines","https://naciscdn.org/naturalearth/50m/cultural/ne_50m_admin_1_states_provinces_lines.zip"
"1:50m","Admin 1 – States, provinces","scale ranks","https://naciscdn.org/naturalearth/50m/cultural/ne_50m_admin_1_states_provinces_shp_scale_rank.zip"
"1:50m","Populated Places","populated places","https://naciscdn.org/naturalearth/50m/cultural/ne_50m_populated_places.zip"
"1:50m","Populated Places","simple (less columns)","https://naciscdn.org/naturalearth/50m/cultural/ne_50m_populated_places_simple.zip"
"1:50m","Airports","airports","https://naciscdn.org/naturalearth/50m/cultural/ne_50m_airports.zip"
"1:50m","Ports","ports","https://naciscdn.org/naturalearth/50m/cultural/ne_50m_ports.zip"
"1:50m","Urban Areas","urban areas","https://naciscdn.org/naturalearth/50m/cultural/ne_50m_urban_areas.zip"
"1:50m","Coastline","coastline","https://naciscdn.org/naturalearth/50m/physical/ne_50m_coastline.zip"
"1:50m","Land","land","https://naciscdn.org/naturalearth/50m/physical/ne_50m_land.zip"
"1:50m","Ocean","ocean","https://naciscdn.org/naturalearth/50m/physical/ne_50m_ocean.zip"
"1:50m","Rivers, Lake Centerlines","rivers and lake centerlines","https://naciscdn.org/naturalearth/50m/physical/ne_50m_rivers_lake_centerlines.zip"
"1:50m","Rivers, Lake Centerlines","with scale ranks + tapering","https://naciscdn.org/naturalearth/50m/physical/ne_50m_rivers_lake_centerlines_scale_rank.zip"
"1:50m","Lakes + Reservoirs","lakes","https://naciscdn.org/naturalearth/50m/physical/ne_50m_lakes.zip"
"1:50m","Lakes + Reservoirs","historic","https://naciscdn.org/naturalearth/50m/physical/ne_50m_lakes_historic.zip"
"1:50m","Physical Labels","label areas","https://naciscdn.org/naturalearth/50m/physical/ne_50m_geography_regions_polys.zip"
"1:50m","Physical Labels","label points","https://naciscdn.org/naturalearth/50m/physical/ne_50m_geography_regions_points.zip"
"1:50m","Physical Labels","elevation points","https://naciscdn.org/naturalearth/50m/physical/ne_50m_geography_regions_elevation_points.zip"
